"latitude","longitude","trophic_state"
53.449373,-116.779894,"Mesotrophic"
53.559871,-116.768414,"Oligotrophic"
53.682975,-116.270225,"Mesotrophic"
53.791313,-116.196712,"Mesotrophic"
53.560248,-114.320995,"Eutrophic"
53.939715,-114.321366,"Oligotrophic"
54.017538,-114.349031,"Mesotrophic"
54.110058,-114.246698,"Mesotrophic"
54.622591,-113.123462,"Eutrophic"
54.483,-112.754406,"Mesotrophic"
55.061393,-114.016717,"Mesotrophic"
55.623088,-116.74359,"Oligotrophic"
56.503692,-118.46527,"Mesotrophic"
55.871434,-117.173848,"Eutrophic"
55.139873,-118.862224,"Eutrophic"
55.391549,-119.003383,"Eutrophic"
54.847322,-112.508763,"Eutrophic"
54.894823,-112.316588,"Mesotrophic"
54.793696,-111.909232,"Mesotrophic"
54.646202,-111.652296,"Mesotrophic"
54.143992,-111.499621,"Mesotrophic"
54.116443,-111.341336,"Mesotrophic"
53.965983,-111.293303,"Eutrophic"
53.544071,-114.581865,"Mesotrophic"
50.523187,-99.843826,"Oligotrophic"
50.50351,-99.953734,"Oligotrophic"
50.572023,-100.190591,"Mesotrophic"
50.47746,-100.074738,"Eutrophic"
51.008286,-101.106274,"Eutrophic"
52.671132,-105.272507,"Eutrophic"
52.722615,-105.209001,"Eutrophic"
52.855734,-105.447346,"Eutrophic"
52.854199,-106.157499,"Eutrophic"
53.183739,-106.844945,"Oligotrophic"
53.220024,-106.853005,"Mesotrophic"
53.165963,-106.814976,"Eutrophic"
54.456237,-107.419508,"Eutrophic"
53.92408,-107.702852,"Mesotrophic"
54.09185,-107.6804,"Eutrophic"
51.149512,-101.079876,"Eutrophic"
54.993693,-108.344502,"Mesotrophic"
54.541364,-108.547482,"Oligotrophic"
53.54476,-109.095614,"Mesotrophic"
53.08939,-107.236605,"Mesotrophic"
51.439365,-101.42674,"Eutrophic"
53.188577,-107.657995,"Eutrophic"
53.208341,-108.664809,"Eutrophic"
50.496501,-99.688457,"Eutrophic"
53.024412,-114.059639,"Mesotrophic"
56.462556,-111.162013,"Eutrophic"
57.292089,-111.238794,"Mesotrophic"
55.217558,-119.091379,"Eutrophic"
55.518181,-120.015159,"Mesotrophic"
55.256701,-118.76132,"Eutrophic"
55.628822,-118.528498,"Eutrophic"
56.240918,-117.734668,"Eutrophic"
49.360996,-98.911512,"Eutrophic"
49.426958,-99.435161,"Mesotrophic"
49.319927,-99.545126,"Eutrophic"
49.002982,-100.065083,"Eutrophic"
49.062751,-100.141199,"Mesotrophic"
49.771608,-102.458801,"Eutrophic"
49.939593,-102.451854,"Eutrophic"
50.785639,-103.952104,"Eutrophic"
50.470346,-97.650318,"Eutrophic"
49.084553,-113.606695,"Mesotrophic"
49.011395,-113.456521,"Mesotrophic"
49.068437,-112.718603,"Mesotrophic"
51.591071,-113.753331,"Eutrophic"
51.68812,-113.555192,"Mesotrophic"
51.490556,-112.12657,"Mesotrophic"
50.939508,-113.232916,"Eutrophic"
49.667277,-110.295708,"Eutrophic"
50.110293,-108.496956,"Eutrophic"
49.986537,-107.934986,"Mesotrophic"
49.217733,-105.851938,"Mesotrophic"
50.21254,-103.584538,"Eutrophic"
49.83338,-102.332239,"Oligotrophic"
49.813839,-102.397321,"Mesotrophic"
49.813921,-102.309917,"Mesotrophic"
49.839573,-102.425933,"Mesotrophic"
50.542953,-106.012079,"Eutrophic"
50.392956,-109.488101,"Eutrophic"
52.182962,-112.343561,"Eutrophic"
53.463347,-113.228775,"Eutrophic"
52.85999,-112.74476,"Eutrophic"
53.518523,-113.219575,"Eutrophic"
53.658603,-112.778849,"Oligotrophic"
53.316011,-111.589784,"Mesotrophic"
52.320211,-109.95027,"Eutrophic"
52.471187,-113.172336,"Eutrophic"
53.256011,-112.912167,"Eutrophic"
53.417396,-112.911743,"Eutrophic"
52.344099,-108.767665,"Oligotrophic"
50.388326,-100.626474,"Eutrophic"
51.31598,-102.877558,"Mesotrophic"
51.819993,-103.544821,"Eutrophic"
52.239307,-103.947363,"Oligotrophic"
52.352834,-105.140944,"Eutrophic"
52.802144,-106.263384,"Eutrophic"
52.635863,-108.567479,"Eutrophic"
52.708506,-109.791664,"Eutrophic"
52.738966,-109.652625,"Mesotrophic"
52.638124,-109.898419,"Mesotrophic"
52.489493,-107.408292,"Mesotrophic"
51.860856,-109.311232,"Eutrophic"
52.84409,-108.859002,"Mesotrophic"
52.720884,-108.51576,"Mesotrophic"
52.980027,-107.810639,"Mesotrophic"
52.003037,-108.784517,"Mesotrophic"
51.631497,-104.274473,"Eutrophic"
53.037189,-108.278678,"Mesotrophic"
52.670482,-109.211384,"Mesotrophic"
52.916564,-107.873935,"Eutrophic"
52.689028,-107.159874,"Oligotrophic"
51.597074,-99.849842,"Eutrophic"
52.671989,-108.310133,"Mesotrophic"
53.623604,-113.95501,"Eutrophic"
53.678768,-112.853935,"Eutrophic"
52.382773,-110.969002,"Eutrophic"
52.695158,-111.374896,"Eutrophic"
53.547125,-111.801211,"Oligotrophic"
49.932203,-117.393357,"Oligotrophic"
50.957539,-118.396542,"Oligotrophic"
50.144066,-115.474903,"Oligotrophic"
49.779692,-115.735377,"Oligotrophic"
49.410863,-115.327295,"Mesotrophic"
49.245773,-115.235662,"Oligotrophic"
54.470753,-126.755752,"Mesotrophic"
54.656922,-126.924746,"Mesotrophic"
54.077005,-125.757675,"Eutrophic"
54.242465,-125.061656,"Eutrophic"
54.037199,-122.84621,"Eutrophic"
53.42795,-124.545783,"Mesotrophic"
53.580617,-124.73149,"Mesotrophic"
53.598731,-124.889241,"Eutrophic"
